document,label
한국에서는 안돼겠지?돼더라도 걱정이다..문재인 자기가만든것처럼 선전할꺼니..ㅠ,1
빨리좀개발해라.....그것도싸게개발해서. 좀버습해줘라....불안불편그리고삶의의역상싱등등너무부작영이크다,1
역시 영국이 백신은 세계 최고다..,0
영국 마스크도 안쓰고 요즘도 확진자 500 - 800명대라 답없다 생각했는데 이런걸 보니 그나마 안심된다. 백신 테스트 지원자 계속 모집하던데 이건가보다.,1
발효잘된 김칫국물로 링겔 맞는게 차라리 효과만점일지도..,1
우리나라 뭐하냐 세계에서 제일 머리좋은 민족이 왜 머리를 안씀,0
"희망고문 하지마라. 백신은 솔직히 나오기 힘들다. 메르스,사스도 백신없다. 변이가 계속되는데 어찌 만든단 말이냐. 변이속도 맞춰서 미리 개발이라도 하나? 감기도 정복 못했으면서 무슨;;차라리 치료제 개발이 쉽다. 어차피 무증상감염자들은 백신이고 치료제고 나발이고 필요없이 자동셀프치료 되는거고 위험군들에게 유효한 치료제 개발이 훨씬 가능성이 높다. 음모론 따윈 믿지않지만 전세계 인구 줄이기 프로젝트가 맞다면 치료제는 더 늦게 나올거고, 그게 아니면 돈독오른 제약사들에의해 머잖아 나올거다. 담배의 니코틴이 코로나 잡는다며? 뻘소리겠지?",1
머카노 셀트리온이 젤압서있는데 노벨의학상은 따논 당상임 화이팅 조선,1
건강한 사람 80%는 무증상.. 유증상 중 80%는 1~2주 안에 치료없이 완쾌된다..... 백신이 왜 필요한거냐??????,0
문대통령은 국민과 거리두기한지 오래됨. 걍 탄핵촉구를 하심이 옳을 것 같소.,0
울면서 립서비스 하는 김정은의 모습에 감읍하여 종전선언으로 보답하는 문재인은 과연 대통령 자격이 있을까..우리국민 한사람이 참혹하게 죽음을 당하여도 북에 한마디 못하는 치졸한 모습을 본 국민들은 분노한다..식견과소통 능력도 없는 자격없는 자이다..,1
누구맘대로 종전이고 통일이요? 난 빨갱이되기싫어유!안철수 힘내요!,1
"문재인을 대통령이라 할 수는 없다. 제 1대 ""북통령""이라 불러야 한다. 이 자는 북한이 진정한 자기 조국이다. 남한 국민들에게 그 본심을 숨기고 사기쳐 대통령 된 자다. 문재인정권의 모든 위정활동이 그 증거다!",0
"ㅋㅋ 독백, 스토킹 어쩜 이렇게 옳은 말씀을~!!",0
말 진짜 속 시원하게 잘한다니까 안철수가 문재인 깔때마다 그나마 쌓여있던 스트레스가 조금이라도 풀린다,1
"솔직히 안철수만큼 좋은 사람도 없는데 정치판에서는 좋은사람, 좋은정책이 아니라 극과 극으로 나뉘어서 상대만 깔아뭉개고 이기려는짓만 하니, 좌나우나 옳은정책이나 좋은 정치인은 없고, 쓰레기들만 넘쳐나지. 좋은정책, 똑똑한 사람은 정작 정치를 할 세력을 모을 수 없다는게 슬픈현실.",0
"2012, 2016년 대선후보 TV토론당시 홍준표,유승민과 박그네가 ""대한민국의 주적이 누굽니까?"" 라고 묻자 문재인은 '그런 식의 색깔론으로 나오시면 안되죠 허허' 라고 했다. 결론을 내지 않고 물타기, 동문서답 뚱딴지 같은 소리하고 말 빙빙 돌렸지. 이거 리얼팩트고 지상파 대선후보 TV토론 재방송으로 보면 진짜 이렇게 대답했다(가짜뉴스 아님) 대한민국의 주적은 북한, 공산당과 김정은이다.",1
현재 우리나라에서 문재인 빡돌게 하는 인간은 단 두명 안철수하고 약간 맛탱이 간 전광훈 ㅋㅋ 난 이 둘을 응원한다 ^^,1
사이다 발언이다. 스토킹을 그만두어야 하는데 정작 당사자는 멘탈고장으로 스토킹인지 모른다는 것이다.,0
국민보다 북한이 먼저인 대통령을 어느 국민이 용서할까요?,0
네이버에 빨갱이가 들어왔네...안대표가 틀린애기 했나?? 나도 헸갈린다 문죄앙이 남쪽 대통령인지.....어찌 국민이 북한군에 총맞고 죽고 시신이 불태워졌는데 국민은 안중에 없고 오직 정은이 와 북한인민 만 걱정 하는지...----달님은 영창으로~~~,1
안철수 순수하고 정치인으로서 많이 성장한 거 같아 성원한다.예전 충분히 검증되지 않은 채 과다한 지지를 받을 때는 우려를 했었는데 박근혜나 문재인이나 그놈이 그놈인걸로 똑같이 대통령 감이 못되다는게 확인된 지금 진영논리에서 벗어나 대한민국의 안위를 위해 안철수에게 성원과 지지를 가져볼 때가 아닌가 생각한다.,1
국제적으로 망신이다,0
종전선언하면 주한미군철수 명분만 챙겨주는거다ㅋㅋㅋㅋ,0
"요즘 찰스 눈에 총기가 서려있네, 예리하고 날카로운 촌철살인 멘트에 조금씩 관심갖기 시작함~~",0
입만놀려 얘는ㅋㅋㅋ,1
진보의 열차를 타던 사람들이 능력이 딸려 쫒겨나니 혹시나 하고 보수의 틈새를 노리고 기웃거리더니 왜 이렇게 추접스럽게 변했나? 사람도 나이를 먹으면 좀 추해지는데 이건 늙지도 않았는데 벌써 꼰대 냄새가 나니 참 아이러니다.,1
우리는 지난 번에 안철수를 뽑았어야 했어ㅠㅠ 북한 짝사랑만 하는 문재인 대신에,0
안철수대표는 이과라 그런지 핵심은 잘 찌르는데 토론이 안되....그것만되면 다음 대선에서 이길텐데,1
"철수야, 너의 정체성은 뭐냐?이쪽 저쪽 왔다리 갔다리 하니 헷갈린다.",1
"안철수 형은 말씀 잘 하시는데, 왜 본인은 행동을 하지 않는지... 권력년 그만 짝사랑 하시고 옛 모습으로 돌아가세요. 스토킹은 범죄입니다.",1
혼자 대통령한테 라이벌의식 쩔어 웅변연습이나 계속 하셔 아님 마라톤이나 하든가,1
대통령은 헌법기관으로서 마땅히 국민을 수호해야할 의무가 있거늘.. 월북자라고 총살당해도 싸다라고 나오면 박근혜랑 다를게 뭐냐?,1
"진짜 이 정권을 어찌해야 하나...나서서 국민들 속 좀 시원하게 해줄 사람 없나. 할 수 있는거란건 가끔씩 나와 한마디 비판하는거, 야당은 이럴때 뭐하고 있나. 전부 힘 모아서 어찌좀 해봐라. 분통 터져 자빠지겠다.",1
다음 대통령은 김영삼이 전두환 노태우를 심판대에 올리고 하나회를 척결했드시 문재인과 주사파 일당들을 척결하여 나라의 근본을 다시 세울 의지가 있는 사람이 국민들의 지지를 받고 차기 대통령이 될 것이다. 문씨와 그일당들의 행태로 해서 존경하고 좋아하던 김대중과 노무현도 싫어 졌으며 김영삼이 다시 보인다,1
내가하고 싶은말 대신해 주네 듣기싫더라도 바른말을 해야한다. 안 지지한다,1
앉으나 서나 수령님생각 앉으나 서나 국방위원장님 생각 떠오르는 정은님모습 피할길없는 문마음~ 종전하자고 애원했건만 답변은 삶은소대가리 ~~,1
안 대표는 “단언컨대 지금 문 대통령이 보여주는 행보는 대한민국 대통령의 자세는 결코 아니다”라며 “대통령은 끝내 우리 국민의 참혹한 죽음을 외면할 생각인가. 지금 대한민국은 국가의 책임과 역할을 다하고 있나”라고 지적했다,0
요새 안철수 강하네!화이팅!,1
철수야 넌 깜이 아니다 조용히 지내라,0
노무현때하고 많이 겹친다 모든 상황이 참...,1
휴전상태의 종전은 허공의 메아리일뿐 북핵에는 입도 뻥긋 못하면서 ㅎㅎㅎ~~ 종전선안 능력도 자격도 UN~~,1
뭐래,0
이미 실효가 지난 존재감.안철수씨는 방역의사가 정답이오. 마치 외계인같은 넋두리는 그만.정계 은퇴하시오. 쥐꼬리 붙들고 그걸 역량이라고.,1
좌파들은 기생충처럼 질척질척 특징이죠,0
"안철수를 지지한다. 학창시절 제대로 열심히 공부하였고, 국방의 의무를 정상적으로 이행하였고, 직장인으로서 사회생활도 정상적으로 하였다. 민주화운동을 하였네 하면서 학창시절 공부하지 않아서 대가리가 비었고, 군대도 못간 자들, 평생 정상적인 직장생활조차도 못해서 세치혀만 가지고 떨거지들 끼리 정치권을 맴돌다가 로또에 당첨된 자들은 정치를 해서도 안되며 지도자가 되어서는 더 더욱 안된다. 민주화니 춧불이니 하면서 정상적인 사회생활보다는 작전과 음모로 연명해온 자들은 국민의 대표가 될 수 없다. 안철수같은 깨끗한 지도자가 정치하길 바란다",1
철수는정치계에서 하루빨리 철수하는 것이 본인에게 이롭다 아마가 프로 노는 데서 무슨 훈수를 두나,1
동네 바보형이 놀림을 많이 받더니 독설가가 됐네. ㅋㅋㅋ 더 웃긴다야..,1
제발 문재앙이 탄핵좀 해라!!타당한 이유는 많지않나?,1
정확한 표현 안철수다,0
문빠 조선족 알바들 총동원령 내릴 기사임~~ㅋㅋ,0
안철수 대표가 야당성을 회복하고 있으니 더 강고하게 나가면 희망이 보입니다,0
안철수 말이 너무나 맞다고 생각해 오죽하면 울나라 대통령인데 김정은 비서실장 아니냐는 말까지 듣겠어? 진짜 화 나,1
ㅋㅋ이르다 민주당이 300석 하긋는데!!!,1
어제가 한글날이지... 초딩에게 맞춤범 뿐만 아니라 바른말도 가르쳐라...이상하게 늙은 초딩이 험한 말하면 자기가 옳은 줄안다...ㅋㅋㅋ 503 보고 있냐? 이게 다 너 때문이야..*잡고 반성하고 있어,1
종전선언은 전쟁을 부르는 전주곡인건 모르고 헛소리를 할뿐 아무런 효과도 앖는일 입니다.종전선언 후에 남북전쟁을 1:1로 다시 하겠다는 뜻으로 해석을 하면 됩니다.,1
북죄인 10통령,1
지지합니다..,0
천안함 우리바다에서 수장됐을때 우린 뭘 할 수 있었나 ?,0
"어떻게 된게 안철수의원 말을 듣다보면 빵 터짐, 카타르시스~~",1
맞는 말입니다 문재인은 죽자살자 김정은만 바라보지만 김정은은 자기 유익에 따라 응답하니 너무 안타깝습니다 이나라 백성이 죽어도 천안함이 폭침 당해도 적군이 당한것처럼 여기니 분명 이나라의 대통령은 아닌가 봅니다 문재인과 민주당이 대한민국을 위하는 것 같이 국정을 운영하나 죽이고 있음을 깨달아야 합니다 문재인과 민주당이 사단의 권세요 마귀요 하나님의 심판의 대상입니다 국민여러분 그들에게 속지마십시요 그들을 심판하러 예수님께서 와이솔이란 이름으로 오셨습니다,1
월남의 패망에 희열을 느꼈습니다. 대통령의 이념을 알아 차릴 수 있었지만 국민들이 촛불선동과 세월호에 눈과 귀가 가려진 겁니다. 최순실과 정유라의 밉상에 물어뜯는데 광기어린 국민들이았습니다. 마치 좀비같있지요.,1
이적행위자는 총살형 시켜야...,0
그래서 당신은 국민을 위해서 뭘했나,1
한반도 평화가 싫으세요? 무슨 노력이라도 해보고 그런소릴 해야지,1
어이구 .모질이. 안초딩,1
프로바보,1
금수저로 태어나 명박이때 한몫챙겨 사라졌다 선거때만되면 나타나 초딩같은말만하는 철수ㆍ 넌 나라를 위해 뭐했는데?,1
"종전선언을 바라는 것이 직무유기 인가? 새정치를 외치고, 구태정치청산을 외친 자가 그것을 이행하지 못하면 국민과 지지자들의 기만행위 아닌가? 국경와 영해를 침범하면 무조건 사살하라는 북한 수뇌부의 명령이 잘못되었다는 것 인가요? 우리나라와 같이 불법보트가 칩입해도 모르는 나라가 올바른 나라인가? 지금 우리나라는 67년동안 남.북 휴전상태 입니다. 종전선언은 당연한 것 아닌가?",1
철수 안했냐? 보수꼴통 다 되었네. 그나 미국은 언제가노?,1
"🥶🥵🤩문통은 야당과 국민들이 독재하지말라고 광화문에서 아무리 시위를해도 눈도깜빰 안씁니다. 🤩🥵🥶지난해 ,시위대가 청와대를 에워싸도 전문운동권출신이라 , 전혀 미동도 안했잖아요. 🥶🥵🤩이젠 부득이 군인들을 동원시켜 청와대와 민주당내에 창궐하는 종북세력들을 쫒아내는수밖에 없습니다.",1
남쪽이 힘있고 잘사니 우리가 짝사랑이라도 해서 통일로 가야하지 않는가?,1
입만열면 거짓말또는 선동 정부 ~ 이런 꼬라지를 언제까지 봐야하나? 지옥으로 변해버린 나라,1
끝도 없는 막말을 하는거 보니 영혼 없는 안철수한테 꼴통 가정교사가 붙었나 보네 ㅉㅉㅉㅉ 어쩌다가 이렇게 망가졌냐? 다음 대선에서도 떨어지면 이제 정계 은퇴 하셔라..,1
당신은 그럼 전쟁대치 계속하면 좋겠어요,1
아무것도 안하고 누워서 통일은 대박 하루에 백번외쳐라.,1
출신은 못속이는법 북출신 문재앙,1
종전선언 대한민국 국민들 소원이지요 단 핵을 완전히 재거되었을때 종전 이지 무슨 핵을 포기하지 않은종전은 없다,1
문죄인 북으로 드가 살아라...,1
철수 은희 못난것들 니들이올바른 사람이라면 벌써 의원뺏지 버리고 국민앞에 사죄하고 정치에서 꺼저어야지 권은희 바보도,1
요즘 앙칼진 사이다발언 잘하네. 정치가 뭔가 좀 아네,1
구구절절 맞는 말...하지만 우리에게는 힘이 없다. 분할 뿐,1
국민들에게 이런 자괴감을 주려고 정권을 잡으셨나요? 북한에 대고 비핵화 이행하라고 강력한 한마디라도 해주셔(비록 개뻥라도...)이젠 쪽팔림도 지나 그냥 세월만 가길 바랄뿐이지만 문득 문득 부화가 치솟네요 ㅠㅠ,1
"네, 문재인의 종전선언이 꼭 젖먹는 철부지의 칭얼거림이나 철창에 갇힌 동물의 무한 반복 왔다 갔다 같아요.어느 가을날 소금만 넣고 끓인 호박잎 국처럼 맛과 영양도 없어 버리는 것입니다. 도대체 문재인은 몰라도 너무 몰라요.",1
닌 바이러스나 연구하라니 기웃대지 말고,0
뚜ㅣ자 마라토너,1
ㅋ 일본산 MB 아답타가 글치 뭐~ ㅋㅋㅋ,1
이미지가 점점 피닉제를 닮아가네,0
남북 통 2 개방 우방하자! 정은이 철들고 나서 ᆢ그러나 김정은이 저들만의 아성을 허물일 절때 못하고 안할것 아니겠나? 겹겹이 무기 아성을 왜 어떻게 만들었는뎅요,1
분명해 보이면 세모는 노안 일것이다,1
저게 생기긴 여자처럼 생겨 가지고 안철수 너 뮈를할래 모자란자식 기회주의자식 지도 남자라고,1
"안교수님, 안박사님...당신은 여기까지가 존경받을수 있는 위치요. 절대 국민을 대표하는 리더는 아니라는 걸 알았으면 합니다. 세상이 변하고 있는데, 남북관계에서 미래세대는 돌파구를 찾아야 미래 먹거리가 창출되고 기회가 온다는 사실을 평범한 가장도 보이는데, 하물며, 어느당의 대표라는 이가 이정도 수준이라니...ㅉㅉ",1
북한의 대변인 노릇을 한 지는 벌써 오래 전이었다.,1
진중권에게 물어 보아라. 이 시기에 이 발언이 맞는 것인지? 아닌지?,1
"난 오늘 정답을 말한다. 유행가처럼 부르짖는 남북 통일이란 단어조차 성립될수없고. 왜, 두목이 둘 될수없으니, 그래서 앞으론,진심으로 조금이라도 가능한 방향이라면, 남북 개방국 하자 고 그렇게 움직이고 바라봐야 하지않을까? 요즘 오래 함께 살던 부부들도 졸혼하고 왼수는 안 하고 자유로히 남은생 또 더 새로이 말년 인생을 훌훌 다 털고 홀가분히 가길 원해요.",1
그냥 컴퓨터 바이러스 사업을 계속하셨으면 존경이라도 받으셨을것을...,1
동서고금을 막론하고 어리석은 지도자를 만나면 나라가 존망의 위기에 처하거나 망한다는 것이 사실이다. 아첨꾼들이 더해지면 나라의 운명을 예측하는 것은 어렵지 않다. 이 나라가 어떻게 만들어진 나라인데 데모꾼들의 세상이 되어 식량원조에 의존해서 연명하는 세계최빈국 수령인 김정은에게 경의를 표하고 찬양가를 서슴없이 불러대고 있는지 한심스럽고 억울하다. 현재 재래식 전력에서 세계 5위권의 전력을 가지고 있는 우리 국군을 무력화시켜서 눈치보는 개로 만들었다. 너희들도 당연히 집권할 수 있고 집권하였지만 제발 더 이상 나라를 망치지 말라.,1
두손모아 빌빌 거리는 모습이란ㅠㅠ국민인게 창피~~,1
마라톤 선수가적성에맞을거같은정치인,1
촬스~ 이제 그만~ 독백은 이제 그만~ 스토킹도 이제 그만~ 촬스~,1
당신이나 좀 조용히하세요 정치는아나? 투정이나부리고 왜 저한테만하세요ㅠㅠ,1
요즘 안철수 물 올랐다. 멘트가 정치인 다 된듯,0
낄때 안낄때도 모르는 ..,0
북한김정은이 경제실패로 말미암아 인민들의삶이 피골이 상접한상태에 이르기까지도달함에따라 향후 개선될기미가 보이질않자 북쪽인민들을 다둑거리면서 남쪽으로부터 경제지원을 희망하는 말로 언질을 주는것이라고 생각한다 이에 문대통령은 앞으로 어떻게 북한문제를 풀어갈것인지 우리는예의주시하고있다,1
"ㅋㅋ 촬스... 존재감도 없는데 기레기가 열심히 써주는 구나, 용돈 좀 받나부지?",1
그래서 재앙이는 대한민국을 중공인과 불체자들의 밥인 나라꼬라지로 만드느냐고 환장하는 늠인디 그런 넘을 대통령으로 만든 유권자들은 jott 잡고 반성해 니들은 좌8매국노들일뿐,1
꼭 대통령되어 나라를 바로세워 주세요,1
열락사무소 폭파는 --결국 우리국민 사살로 마무리되는 형국이고 (물타기) 우리국민 사살은 김정은의 악어의 눈물로 마무리 되였다 그 자신감을 봤는가? 핵페기 이외에 종전선이 있는가? 문재인은 아마도 황공하여 눈물을 흘릴것 더욱 퍼주고 편들어 김정은 비위 마추려 하고 이를 이용하는 김정은 은 문보다 백배는 똑똑한듯거기엔 아마도 제갈공명이 있는듯 하다 이건 뭐 사상이고 뭐고 그냥 무지랭이처럼 정권만 연장하면 땡 ㅋㅋ,1
짝사랑 아닌듯~ 어제 정은이 바베큐가 남녘동포들 사랑한데잖아 ㅋㅋㅋ,1
여야할것이없이 대안내라 야당이 정권잡으면 던쟁하나 김정은이가 핵개발안하는지 무조건반대아닌반대만하지말고 야당이 정권있을때 무엇하였는지 제발정치인들 정신차려라 국민편갈지말고 막연하게 서로 옥하고 핑게되지먈고 제시도 제대로 남북관계할수있는지 전쟁만 유일하게할수있는방안인지 아니면방법제시하라,1
이런 피곤한 기사들을 받쳐주는 기레지들 ...,1
ㅋㅋ 정확한표현,1
진짜 스토킹 같아~문재인 환자~,0
권력욕이 장난 아니네 안철수... 예전에는 참신한 모습이 있더니 언제 이렇게 흉물로 찌그러졌냐...,0
너야말로 1일 1독백 하냐???? ㅋㅋㅋㅋ 기레기들이 안철수 강제로 생면연장시키느라 기사써주니까 니 얘기를 기귀울여 들어주는쥴아냐??? ㅋㅋㅋㅋ,1
"문대통령. 딱하나. 잘하는것, 북한 바라기~",1
구구절절 맞는말밖에 안하네ㅋㅋ,1
이인간 얼굴만 봐도 스트레스네...너의 정체성을 알수가 없어...도대체 추구하는게 뭔지?,1
선거에서 떨어진 사람이 당대표가 될 수 있는 아이러니힌 법..,1
이런 사람이 정치한다고 중학생되면 정치해라 ㅉㅉ,1
생각없는 탈북자 수준의 외침,1
삐찌실까 두려워 글남깁니다,1
철수는철들자죽겠다.,1
당신이야말로 대선병이 심각 ㅉ대선을 스토킹하지말라,1
안철수가 하는 일이 근데 뭐냐?,0
통일 된다면 우리나라가 북을 흡수할까?? 아니면 우리가 북칸에 흡수를 당할까?? 생각이 있다면 머리좀 굴려라 ~ 이늠의 단 세포 종자들아,1
갑철수 문대통령 짝사랑 아직도 하냐?,0
니넘이 키워준 개들이 쥐약을먹고 한넘은 저세상으로 한넘은 나라를 어지럽히고 있는데 대하여 사과부터 해라.,1
은하철도999 담에 또 해바야넌 안돼~~당신 지지율을 생각하고 언행 조심혀~~땜빵용이야~~,1
기자한테 도망가던 철수 아이가,0
공부만 잘했던 넘이래서 문제야견의 아들같으니,1
맞는말. ㅜㅜ,0
안철수님~ 찬스 아닌가요 총대 매세요 지금 대통령 처럼~~,1
철수는 가만히 있으면 좋겄슈 그츄?,1
"언제쯤 되야, 멘트가 초딩을 벗어날까 ... 진짜 깬다.",1
북한북한 아주 지겹다지겨워. 누가그렇게 원한다고 통일 노래를부르고. 것두 김정은 김여정 하는 꼬라지를 보고 들이대세요.,1
태영호 의원은 한국국민인지? 북한국민인지? 누구나 거주하는 곳의 국민이 되는 것도 모르나?,1
언변이 늘으셨네요! 동감합니다. 무슨 짝사랑인지 ㅡㅡ,0
"아..집값정상화는 투기꾼집단에 졌고, 경제는 최저임금 인상에 폭망이고, 어떻게 대북관계라도 머든 해야 그나마 쌍욕은 안먹을텐데... 정은아 좀 도와도... 누구생각?",1
맞는말만 하는데 이사람보면 왜이리 불편하지?,1
"니, 혼자 달리기 보다, 백번 ... 천번 ...",1
철수는 지금 정권이 전 정권들 보다 훨씬 우리나라 국방에 투자하고 있는거 알기나 하나? 명박 아바타로 국물 빼먹기나 했으니 알리가 없지. 국회의원 조차 아닌 녀석이 자기를 거물인양 착각하는것도 이제 조롱거리 밖에 안됀다,1
평화통일로 가는길은 짝사랑이 아니라 스토커라도좋은거란다 초딩아,1
"대한민국 공무원이 아니고, 공무원 신분에도 불구하고 북으로 도망친 월북자입니다. 조국을 배신하고 월북한 사람도 한국이 도와줘야합니까......",1
다음 포탈 북한 공작원들 와글와글대깨문 문씨 쫌비들 와글 같은인간들,1
구구절절이 맞는말 또 맞는말. 우리국민보다 정은이 눈물이 더 중요한 문대통령,1
지원 중독증 걸린 문재앙,0
상대는 생각도 없는데 내가 너 좋아하니 우리 사귀는 걸로 하자고 자꾸 드리밀면 그건 범죄다. 문재앙은 희대의 사오정으로 고집까지 쇠고집이라 감옥에 쳐 넣는 것 외엔 답이 없다.,1
가자 빨갱이 탄핵하러,0
"ㄷㄲㅁ 중에 서울시장, 대통령 주변에서 기웃기웃한다고 말하는 녀석들 웃겨서 댓글 단다. 정치인 중에 누가 서울시장 대통령 자리 양보하겠냐. 철수가 양보한 적 없다는 놈들은 댓글알바냐 아니면 우기기만 하는 좌파냐",1
안철수 씨 말이 맞습니다. 당신의 말을 듣고 보니 백신은 V3를 써야 겠네요...,1
의미없다,0
적폐로 가는길... 마라톤으로...,1
정치인들은 다 똑같은데 누가 잘났고 못났고를 따지는지 모르겠다 국민생각? 다 지들 배채우는데만 우선 생각하면서 진짜 뉴스도 정치만 나오는걸로 따로 편성 했음한다 평생 않보구러,1
원칙주의자 안철수가 답이다!,0
"안, 오랜만에 옳은 말 했네",0
한심합니다.우리 국민 월북자로 몰아 버리고북은 초대형미사일 뽐내는 마당에 혼자서 종전선언.누구를 위한 정부인가요?,1
"미국에 누가 그랬다죠 문재인의 종전선언 발언에 대해서.........""누가 저말을 듣기나 하나?"" 라고.........",0
안철수~~이제 영원히 안 봤으면 좋겠는데...ㅉㅉ,0
좋은대응 한마디로 GOOD,1
이분?의사?,0
김정은을 짝사랑? 그렇다면 서울시 퀴어축제를 허용했던것도 이해가 가네 ㅋㅋㅋㅋㅋ,1
이럴땐 막걸리 한잔~~~,0
나무를 10번 찍을 생각 하지 말고 10번을 찍힐 나무를 생각해라,1
막상 종전선언 되면 거품물고 반대할 놈들이 아닌가?,1
헛소리 그만 하라. 대한민국을 미.북 전쟁터로 만들 것인가? 종전선언과 평화협정 꾸준히 밀고 나가야 합니다.한반도 전쟁은 초토화되어 사람이 살수 없는 땅으로 변해 버림니다.한국전은 다른나라 전쟁과 다름니다. 3분의2가 산악지대로 현대첨단무기로 15일전이면 남.북 모두 초토화되어 버림니다. 6.25와는 다름니다. 전쟁 전자도 모르는 사람들이 전쟁을 두려워 하지 않고 있습니다.,1
"<짝사랑이 지나치면 집착이 되고, 집착이 지나치면 스토킹> ---> 서울시장, 대통령이 되고 싶어 우왕자왕 여기 기웃 저기 기웃 안초딩의 국민 짝사랑/집착은 고로 스토킹임",0
그럼뭘해야되는지 대안을내라고? 전쟁을하라고하던가! 비판만하지말고,1
제발 그입다물라 ~~~~~,1
철수는 가만이 있으면 30점입뻥긋하면 -30점 말을할때는 주변 사람들과 상의하고 하는것이 좋을듯,1
퇴임후문재인을 어떻게 할 것인지 반드시 생각해야 한다..,1
여자하나하고 너하고 둘이서 뭐하니 철수야 나하고 놀자하니 바보자식,1
안철수에게 힘을...지지합니다!!정말..문지지자들테 궁굼해서 물어봐요...종전선언하면 뭐가 달라지나요???ㅡㅡ??진짜 궁굼해..진짜 ㅋㅋㅋㅋ,1
니가 하면 더 잘할것 같지? 착각이야,1
컴퓨터만 잘 하는 자폐인 놈ᆢ 누굴까ㆍ,1
철수야 너는 정치에는 전혀 안대 그냥 미국 가서 공부좀하세나,1
공격으로는 홍준표가 제일잘한지. 간철수론 무리다,1
이런 과정을 노력이라고 합니다.그러는 당신은 어떤 노력을 하고 있나요?점점 실망스런 모습 보이지 않으시길...,1
너 따위가 감히 따라할수 없는 행동이지.,1
한심한 권은희 아바타 안칠수 이젠 니 얼굴만봐도 차하고 짜증난다 지발 정계은퇴해라 한심한 바보야,1
한반도에 평화가 정착되야 우리가 잘사는 길이다이것을 모르는 사람이 있는 것 같아 한심하네똥은 무서워서 피하는게 아니라 더러워서 피한다,1
��안철수 (왓튼스쿨경제학 전공) 💙문죄잉 (변호사출신) ■격 이 다르다 《부채5000조 ●변호사출신이 무슨 경제를 ●알겠어 ㆍ똥꼬집만.......,1
